"행정구역별(1)",행정구역별(2),2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"행정구역별(1)",행정구역별(2),세대수 (세대),등록인구 (명),등록인구 (명),등록인구 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명),세대당 인구 (명),65세이상 고령자 (명),평균연령 (세),인구밀도 (명/㎢),면적 (㎢)
"행정구역별(1)",행정구역별(2),소계,소계,남,여,소계,남,여,소계,남,여,소계,소계,소계,소계,소계
"마산회원구",구암2동,4360,8939,4476,4463,8735,4357,4378,204,119,85,2.00,2286,48.5,11804,0.74
"마산회원구",봉암동,1725,3669,2226,1443,2840,1577,1263,829,649,180,1.65,813,51.3,461,6.16
"진해구",소계,85772,193455,100389,93066,188739,97185,91554,4716,3204,1512,2.20,34540,46.3,1522,124.03
"진해구",충무동,7550,15748,8152,7596,15495,8010,7485,253,142,111,2.05,3599,45.5,847,18.30
"진해구",여좌동,4214,7896,3923,3973,7811,3884,3927,85,39,46,1.85,2904,54.5,1717,4.55
"진해구",태백동,1869,3469,1735,1734,3459,1732,1727,10,3,7,1.85,1297,54.4,1943,1.78
"진해구",경화동,4548,10525,5321,5204,10466,5289,5177,59,32,27,2.30,2495,47.4,4937,2.12
"진해구",병암동,3338,6908,3405,3503,6862,3373,3489,46,32,14,2.06,1775,48.5,4013,1.71
"진해구",석동,7351,17277,8948,8329,17098,8841,8257,179,107,72,2.33,2568,42.6,7633,2.24
"진해구",이동,4834,8328,4434,3894,8221,4373,3848,107,61,46,1.70,2372,50.7,9034,0.91
"진해구",자은동,8841,20321,10139,10182,20215,10102,10113,106,37,69,2.29,3356,43.5,3309,6.11
"진해구",덕산동,4089,9284,4589,4695,9248,4575,4673,36,14,22,2.26,1929,44.5,4533,2.04
"진해구",풍호동,9159,24893,12397,12496,24805,12359,12446,88,38,50,2.71,3679,41.2,3294,7.53
"진해구",웅천동,5777,14383,7425,6958,13886,6979,6907,497,446,51,2.40,2070,41.1,481,28.89
"진해구",웅동1동,3568,8400,4604,3796,7657,3922,3735,743,682,61,2.15,1639,47.4,234,32.74
"진해구",웅동2동,20634,46023,25317,20706,43516,23746,19770,2507,1571,936,2.11,4857,40.7,2880,15.11
